date,session_id,workflow,story,duration,parent_msgs,subagent_count,subagent_msgs,models,total_input,total_output,total_cache_write,total_cache_read,parent_cost,subagent_cost,total_cost
,18eab8a8-22d,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,94431a5d-63b,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,b7e15308-db3,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,1efd3958-a16,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,b6e55d89-a39,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,a93d88df-1c1,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,e5615f63-687,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,79b75c3e-68b,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,58b81c38-b89,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,41ad6d2c-7af,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,6cea04d9-c34,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,b902e484-71d,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,c78bc3c6-4da,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,ee77afb8-ac4,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,04456351-38c,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,cdffe813-e9c,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,35e9eadd-981,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,79c68f8b-865,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,c828d36e-23b,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,5f6ded32-7cd,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,2eb49e73-a95,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,dcc87607-0a7,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,7be37a56-fc9,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
,6de6a048-2ec,,,?,0,0,0,,0,0,0,0,0.00,0.00,0.00
